esmeralda;weatherwax;aubin.saunier@isen-ouest.yncrea.fr;{s7?u-4}ff
gytha;ogg;aubin.saunier@gmail.com;chbpub{c4]
agnes;nitt;agnes.nitt@lancres;(_8:}3orri
tiffany;aching;tiffany.aching@lancres;@f0)ara19)
mortimer;stohelit;mortimer.sto-helit@sto-helit;s|)y:i50xa
ysabell;stohelit;ysabell.sto-helit@sto-helit;~v7u|&fmqd
susan;stohelit;susan.sto-helit@sto-helit;q.plsz~e5:
havelock;vetinari;patrician@ankh-morpork;~mpzgr(6&~
leonard;ofquirm;leonard.of-quirm@ankh-morpork;v~4%ztbe}a
miguel;stohelit;miguel.sto-helit@uu;v)4uztpe-i
samuel;vimes;sam.vimes@night-watch;6a+w=tnp=|
carrot;ironfoundersson;carrot.ironfoundersson@night-watch;i_tw7-aojh
angua;vonuberwald;angua.von-uberwald@night-watch;[f1g[t]my2
fred;colon;fred.colon@night-watch;}*m)]w}o0x
nobby;nobbs;nobby.nobbs@night-watch;]*1d:ua@(u
mustrum;ridcullus;mustrum.ridcullus@uu;yhuiprkf*5
mickael;stohelit;mickael.sto-helit@lancres;oj8-]5pepl
ponder;stibbons;ponder.stibbons@uu;e[a4mw:jna
sybil;ramkin;sybil.ramkin@ankh-morpork;,zs9eip[mp
